,code,description,icd10cm_code
3327,D43.0,"Neoplasm of uncertain behavior of brain, supratentorial",D430
3328,D43.1,"Neoplasm of uncertain behavior of brain, infratentorial",D431
3329,D43.2,"Neoplasm of uncertain behavior of brain, unspecified",D432
3330,D43.3,Neoplasm of uncertain behavior of cranial nerves,D433
3331,D43.4,Neoplasm of uncertain behavior of spinal cord,D434
3332,D43.8,Neoplasm of uncertain behavior of other specified parts of central nervous system,D438
3333,D43.9,"Neoplasm of uncertain behavior of central nervous system, unspecified",D439
3334,D44,Neoplasm of uncertain behavior of endocrine glands,D44
3335,D44.0,Neoplasm of uncertain behavior of thyroid gland,D440
3336,D44.1,Neoplasm of uncertain behavior of adrenal gland,D441
3337,D44.10,Neoplasm of uncertain behavior of unspecified adrenal gland,D4410
3338,D44.11,Neoplasm of uncertain behavior of right adrenal gland,D4411
3339,D44.12,Neoplasm of uncertain behavior of left adrenal gland,D4412
3340,D44.2,Neoplasm of uncertain behavior of parathyroid gland,D442
3341,D44.3,Neoplasm of uncertain behavior of pituitary gland,D443
3342,D44.4,Neoplasm of uncertain behavior of craniopharyngeal duct,D444
3343,D44.5,Neoplasm of uncertain behavior of pineal gland,D445
3344,D44.6,Neoplasm of uncertain behavior of carotid body,D446
3345,D44.7,Neoplasm of uncertain behavior of aortic body and other paraganglia,D447
3346,D44.9,Neoplasm of uncertain behavior of unspecified endocrine gland,D449
3347,D45,Polycythemia vera,D45
3348,D46,Myelodysplastic syndromes,D46
3349,D46.0,"Refractory anemia without ring sideroblasts, so stated",D460
3350,D46.1,Refractory anemia with ring sideroblasts,D461
3351,D46.2,Refractory anemia with excess of blasts [RAEB],D462
3352,D46.20,"Refractory anemia with excess of blasts, unspecified",D4620
3353,D46.21,Refractory anemia with excess of blasts 1,D4621
3354,D46.22,Refractory anemia with excess of blasts 2,D4622
3355,D46.A,Refractory cytopenia with multilineage dysplasia,D46A
3356,D46.B,Refractory cytopenia with multilineage dysplasia and ring sideroblasts,D46B
3357,D46.C,Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality,D46C
3358,D46.4,"Refractory anemia, unspecified",D464
3359,D46.Z,Other myelodysplastic syndromes,D46Z
3360,D46.9,"Myelodysplastic syndrome, unspecified",D469
3361,D47,"Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue",D47
3362,D47.0,Mast cell neoplasms of uncertain behavior,D470
3363,D47.01,Cutaneous mastocytosis,D4701
3364,D47.02,Systemic mastocytosis,D4702
3365,D47.09,Other mast cell neoplasms of uncertain behavior,D4709
3366,D47.1,Chronic myeloproliferative disease,D471
3367,D47.2,Monoclonal gammopathy,D472
3368,D47.3,Essential (hemorrhagic) thrombocythemia,D473
3369,D47.4,Osteomyelofibrosis,D474
3370,D47.Z,"Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue",D47Z
3371,D47.Z1,Post-transplant lymphoproliferative disorder (PTLD),D47Z1
3372,D47.Z2,Castleman disease,D47Z2
3373,D47.Z9,"Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue",D47Z9
3374,D47.9,"Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified",D479
3375,D48,Neoplasm of uncertain behavior of other and unspecified sites,D48
3376,D48.0,Neoplasm of uncertain behavior of bone and articular cartilage,D480
3377,D48.1,Neoplasm of uncertain behavior of connective and other soft tissue,D481
3378,D48.11,Desmoid tumor,D4811
3379,D48.110,Desmoid tumor of head and neck,D48110
3380,D48.111,Desmoid tumor of chest wall,D48111
3381,D48.112,"Desmoid tumor, intrathoracic",D48112
3382,D48.113,Desmoid tumor of abdominal wall,D48113
3383,D48.114,"Desmoid tumor, intraabdominal",D48114
3384,D48.115,Desmoid tumor of upper extremity and shoulder girdle,D48115
3385,D48.116,Desmoid tumor of lower extremity and pelvic girdle,D48116
3386,D48.117,Desmoid tumor of back,D48117
3387,D48.118,Desmoid tumor of other site,D48118
3388,D48.119,Desmoid tumor of unspecified site,D48119
3389,D48.19,Other specified neoplasm of uncertain behavior of connective and other soft tissue,D4819
3390,D48.2,Neoplasm of uncertain behavior of peripheral nerves and autonomic nervous system,D482
3391,D48.3,Neoplasm of uncertain behavior of retroperitoneum,D483
3392,D48.4,Neoplasm of uncertain behavior of peritoneum,D484
3393,D48.5,Neoplasm of uncertain behavior of skin,D485
3394,D48.6,Neoplasm of uncertain behavior of breast,D486
3395,D48.60,Neoplasm of uncertain behavior of unspecified breast,D4860
3396,D48.61,Neoplasm of uncertain behavior of right breast,D4861
3397,D48.62,Neoplasm of uncertain behavior of left breast,D4862
3398,D48.7,Neoplasm of uncertain behavior of other specified sites,D487
3399,D48.9,"Neoplasm of uncertain behavior, unspecified",D489
3400,D49,Neoplasms of unspecified behavior,D49
3401,D49.0,Neoplasm of unspecified behavior of digestive system,D490
3402,D49.1,Neoplasm of unspecified behavior of respiratory system,D491
3403,D49.2,"Neoplasm of unspecified behavior of bone, soft tissue, and skin",D492
3404,D49.3,Neoplasm of unspecified behavior of breast,D493
3405,D49.4,Neoplasm of unspecified behavior of bladder,D494
3406,D49.5,Neoplasm of unspecified behavior of other genitourinary organs,D495
3407,D49.51,Neoplasm of unspecified behavior of kidney,D4951
3408,D49.511,Neoplasm of unspecified behavior of right kidney,D49511
3409,D49.512,Neoplasm of unspecified behavior of left kidney,D49512
3410,D49.519,Neoplasm of unspecified behavior of unspecified kidney,D49519
3411,D49.59,Neoplasm of unspecified behavior of other genitourinary organ,D4959
3412,D49.6,Neoplasm of unspecified behavior of brain,D496
3413,D49.7,Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system,D497
3414,D49.8,Neoplasm of unspecified behavior of other specified sites,D498
3415,D49.81,Neoplasm of unspecified behavior of retina and choroid,D4981
3416,D49.89,Neoplasm of unspecified behavior of other specified sites,D4989
3417,D49.9,Neoplasm of unspecified behavior of unspecified site,D499
3418,D50,Iron deficiency anemia,D50
3419,D50.0,Iron deficiency anemia secondary to blood loss (chronic),D500
3420,D50.1,Sideropenic dysphagia,D501
3421,D50.8,Other iron deficiency anemias,D508
3422,D50.9,"Iron deficiency anemia, unspecified",D509
3423,D51,Vitamin B12 deficiency anemia,D51
3424,D51.0,Vitamin B12 deficiency anemia due to intrinsic factor deficiency,D510
3425,D51.1,Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria,D511
3426,D51.2,Transcobalamin II deficiency,D512
3427,D51.3,Other dietary vitamin B12 deficiency anemia,D513
3428,D51.8,Other vitamin B12 deficiency anemias,D518
3429,D51.9,"Vitamin B12 deficiency anemia, unspecified",D519
3430,D52,Folate deficiency anemia,D52
3431,D52.0,Dietary folate deficiency anemia,D520
3432,D52.1,Drug-induced folate deficiency anemia,D521
3433,D52.8,Other folate deficiency anemias,D528
3434,D52.9,"Folate deficiency anemia, unspecified",D529
3435,D53,Other nutritional anemias,D53
3436,D53.0,Protein deficiency anemia,D530
3437,D53.1,"Other megaloblastic anemias, not elsewhere classified",D531
3438,D53.2,Scorbutic anemia,D532
3439,D53.8,Other specified nutritional anemias,D538
3440,D53.9,"Nutritional anemia, unspecified",D539
3441,D55,Anemia due to enzyme disorders,D55
3442,D55.0,Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency,D550
3443,D55.1,Anemia due to other disorders of glutathione metabolism,D551
3444,D55.2,Anemia due to disorders of glycolytic enzymes,D552
3445,D55.21,Anemia due to pyruvate kinase deficiency,D5521
3446,D55.29,Anemia due to other disorders of glycolytic enzymes,D5529
3447,D55.3,Anemia due to disorders of nucleotide metabolism,D553
3448,D55.8,Other anemias due to enzyme disorders,D558
3449,D55.9,"Anemia due to enzyme disorder, unspecified",D559
3450,D56,Thalassemia,D56
3451,D56.0,Alpha thalassemia,D560
3452,D56.1,Beta thalassemia,D561
3453,D56.2,Delta-beta thalassemia,D562
3454,D56.3,Thalassemia minor,D563
3455,D56.4,Hereditary persistence of fetal hemoglobin [HPFH],D564
3456,D56.5,Hemoglobin E-beta thalassemia,D565
3457,D56.8,Other thalassemias,D568
3458,D56.9,"Thalassemia, unspecified",D569
3459,D57,Sickle-cell disorders,D57
3460,D57.0,Hb-SS disease with crisis,D570
3461,D57.00,"Hb-SS disease with crisis, unspecified",D5700
3462,D57.01,Hb-SS disease with acute chest syndrome,D5701
3463,D57.02,Hb-SS disease with splenic sequestration,D5702
3464,D57.03,Hb-SS disease with cerebral vascular involvement,D5703
3465,D57.04,Hb-SS disease with dactylitis,D5704
3466,D57.09,Hb-SS disease with crisis with other specified complication,D5709
3467,D57.1,Sickle-cell disease without crisis,D571
3468,D57.2,Sickle-cell/Hb-C disease,D572
3469,D57.20,Sickle-cell/Hb-C disease without crisis,D5720
3470,D57.21,Sickle-cell/Hb-C disease with crisis,D5721
3471,D57.211,Sickle-cell/Hb-C disease with acute chest syndrome,D57211
3472,D57.212,Sickle-cell/Hb-C disease with splenic sequestration,D57212
3473,D57.213,Sickle-cell/Hb-C disease with cerebral vascular involvement,D57213
3474,D57.214,Sickle-cell/Hb-C disease with dactylitis,D57214
3475,D57.218,Sickle-cell/Hb-C disease with crisis with other specified complication,D57218
3476,D57.219,"Sickle-cell/Hb-C disease with crisis, unspecified",D57219
3477,D57.3,Sickle-cell trait,D573
3478,D57.4,Sickle-cell thalassemia,D574
3479,D57.40,Sickle-cell thalassemia without crisis,D5740
3480,D57.41,"Sickle-cell thalassemia, unspecified, with crisis",D5741
3481,D57.411,"Sickle-cell thalassemia, unspecified, with acute chest syndrome",D57411
3482,D57.412,"Sickle-cell thalassemia, unspecified, with splenic sequestration",D57412
3483,D57.413,"Sickle-cell thalassemia, unspecified, with cerebral vascular involvement",D57413
3484,D57.414,"Sickle-cell thalassemia, unspecified, with dactylitis",D57414
3485,D57.418,"Sickle-cell thalassemia, unspecified, with crisis with other specified complication",D57418
3486,D57.419,"Sickle-cell thalassemia, unspecified, with crisis",D57419
3487,D57.42,Sickle-cell thalassemia beta zero without crisis,D5742
3488,D57.43,Sickle-cell thalassemia beta zero with crisis,D5743
3489,D57.431,Sickle-cell thalassemia beta zero with acute chest syndrome,D57431
3490,D57.432,Sickle-cell thalassemia beta zero with splenic sequestration,D57432
3491,D57.433,Sickle-cell thalassemia beta zero with cerebral vascular involvement,D57433
3492,D57.434,Sickle-cell thalassemia beta zero with dactylitis,D57434
3493,D57.438,Sickle-cell thalassemia beta zero with crisis with other specified complication,D57438
3494,D57.439,"Sickle-cell thalassemia beta zero with crisis, unspecified",D57439
3495,D57.44,Sickle-cell thalassemia beta plus without crisis,D5744
3496,D57.45,Sickle-cell thalassemia beta plus with crisis,D5745
3497,D57.451,Sickle-cell thalassemia beta plus with acute chest syndrome,D57451
3498,D57.452,Sickle-cell thalassemia beta plus with splenic sequestration,D57452
3499,D57.453,Sickle-cell thalassemia beta plus with cerebral vascular involvement,D57453
3500,D57.454,Sickle-cell thalassemia beta plus with dactylitis,D57454
3501,D57.458,Sickle-cell thalassemia beta plus with crisis with other specified complication,D57458
3502,D57.459,"Sickle-cell thalassemia beta plus with crisis, unspecified",D57459
3503,D57.8,Other sickle-cell disorders,D578
3504,D57.80,Other sickle-cell disorders without crisis,D5780
3505,D57.81,Other sickle-cell disorders with crisis,D5781
3506,D57.811,Other sickle-cell disorders with acute chest syndrome,D57811
3507,D57.812,Other sickle-cell disorders with splenic sequestration,D57812
3508,D57.813,Other sickle-cell disorders with cerebral vascular involvement,D57813
3509,D57.814,Other sickle-cell disorders with dactylitis,D57814
3510,D57.818,Other sickle-cell disorders with crisis with other specified complication,D57818
3511,D57.819,"Other sickle-cell disorders with crisis, unspecified",D57819
3512,D58,Other hereditary hemolytic anemias,D58
3513,D58.0,Hereditary spherocytosis,D580
3514,D58.1,Hereditary elliptocytosis,D581
3515,D58.2,Other hemoglobinopathies,D582
3516,D58.8,Other specified hereditary hemolytic anemias,D588
3517,D58.9,"Hereditary hemolytic anemia, unspecified",D589
3518,D59,Acquired hemolytic anemia,D59
3519,D59.0,Drug-induced autoimmune hemolytic anemia,D590
3520,D59.1,Other autoimmune hemolytic anemias,D591
3521,D59.10,"Autoimmune hemolytic anemia, unspecified",D5910
3522,D59.11,Warm autoimmune hemolytic anemia,D5911
3523,D59.12,Cold autoimmune hemolytic anemia,D5912
3524,D59.13,Mixed type autoimmune hemolytic anemia,D5913
3525,D59.19,Other autoimmune hemolytic anemia,D5919
3526,D59.2,Drug-induced nonautoimmune hemolytic anemia,D592
3527,D59.3,Hemolytic-uremic syndrome,D593
3528,D59.30,"Hemolytic-uremic syndrome, unspecified",D5930
3529,D59.31,Infection-associated hemolytic-uremic syndrome,D5931
3530,D59.32,Hereditary hemolytic-uremic syndrome,D5932
3531,D59.39,Other hemolytic-uremic syndrome,D5939
3532,D59.4,Other nonautoimmune hemolytic anemias,D594
3533,D59.5,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli],D595
3534,D59.6,Hemoglobinuria due to hemolysis from other external causes,D596
3535,D59.8,Other acquired hemolytic anemias,D598
3536,D59.9,"Acquired hemolytic anemia, unspecified",D599
3537,D60,Acquired pure red cell aplasia [erythroblastopenia],D60
3538,D60.0,Chronic acquired pure red cell aplasia,D600
3539,D60.1,Transient acquired pure red cell aplasia,D601
3540,D60.8,Other acquired pure red cell aplasias,D608
3541,D60.9,"Acquired pure red cell aplasia, unspecified",D609
3542,D61,Other aplastic anemias and other bone marrow failure syndromes,D61
3543,D61.0,Constitutional aplastic anemia,D610
3544,D61.01,Constitutional (pure) red blood cell aplasia,D6101
3545,D61.02,Shwachman-Diamond syndrome,D6102
3546,D61.09,Other constitutional aplastic anemia,D6109
3547,D61.1,Drug-induced aplastic anemia,D611
3548,D61.2,Aplastic anemia due to other external agents,D612
3549,D61.3,Idiopathic aplastic anemia,D613
3550,D61.8,Other specified aplastic anemias and other bone marrow failure syndromes,D618
3551,D61.81,Pancytopenia,D6181
3552,D61.810,Antineoplastic chemotherapy induced pancytopenia,D61810
3553,D61.811,Other drug-induced pancytopenia,D61811
3554,D61.818,Other pancytopenia,D61818
3555,D61.82,Myelophthisis,D6182
3556,D61.89,Other specified aplastic anemias and other bone marrow failure syndromes,D6189
3557,D61.9,"Aplastic anemia, unspecified",D619
3558,D62,Acute posthemorrhagic anemia,D62
3559,D63,Anemia in chronic diseases classified elsewhere,D63
3560,D63.0,Anemia in neoplastic disease,D630
3561,D63.1,Anemia in chronic kidney disease,D631
3562,D63.8,Anemia in other chronic diseases classified elsewhere,D638
3563,D64,Other anemias,D64
3564,D64.0,Hereditary sideroblastic anemia,D640
3565,D64.1,Secondary sideroblastic anemia due to disease,D641
3566,D64.2,Secondary sideroblastic anemia due to drugs and toxins,D642
3567,D64.3,Other sideroblastic anemias,D643
3568,D64.4,Congenital dyserythropoietic anemia,D644
3569,D64.8,Other specified anemias,D648
3570,D64.81,Anemia due to antineoplastic chemotherapy,D6481
3571,D64.89,Other specified anemias,D6489
3572,D64.9,"Anemia, unspecified",D649
3573,D65,Disseminated intravascular coagulation [defibrination syndrome],D65
3574,D66,Hereditary factor VIII deficiency,D66
3575,D67,Hereditary factor IX deficiency,D67
3576,D68,Other coagulation defects,D68
3577,D68.0,Von Willebrand disease,D680
3578,D68.00,"Von Willebrand disease, unspecified",D6800
3579,D68.01,"Von Willebrand disease, type 1",D6801
3580,D68.02,"Von Willebrand disease, type 2",D6802
3581,D68.020,"Von Willebrand disease, type 2A",D68020
3582,D68.021,"Von Willebrand disease, type 2B",D68021
3583,D68.022,"Von Willebrand disease, type 2M",D68022
3584,D68.023,"Von Willebrand disease, type 2N",D68023
3585,D68.029,"Von Willebrand disease, type 2, unspecified",D68029
3586,D68.03,"Von Willebrand disease, type 3",D6803
3587,D68.04,Acquired von Willebrand disease,D6804
3588,D68.09,Other von Willebrand disease,D6809
